地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
[' 美国'],['彼得·博格'],['2018'],['94'],"['马克·沃尔伯格', '劳伦·科汉', '伊科·乌艾斯', '约翰·马尔科维奇', '龙达·鲁西', '卡尔洛·阿尔班', '娜塔莎·古布斯卡亚', '李彩麟', '山姆·麦地那', '基思·阿瑟·鲍顿', '比利·史密斯', '米凯·霍姆斯', '艾米莉· 斯凯格斯', '特里·金尼', '普娜·贾甘纳坦', '彼得·博格', '埃尔·格雷厄姆', '尼古拉·尼克拉斐', '大卫·加雷利克', '肖恩·艾弗里', '特雷弗·格雷茨基', '里奇·拉瑟福德', '亚历山德拉·维诺', '约翰·盖蒂尔', '萨姆·鲁克', '迈克尔·皮耶里诺·米勒', '巴拉克·奥巴马', '里克·佩雷斯', '帕蒂·舍尔哈斯', '唐纳德·特朗普', '瑞文·韦恩']",['22英里 Mile 22'],"['动作', '犯罪', '冒险']",['6.8'],['14403'],[' 英语 / 俄语 / 印度尼西亚语']
[' 中国大陆'],['马小刚'],['2018'],['61'],"['韩朴俊', '朱颜曼滋', '何索', '李心敏', '韩秋池', '尹航', '刘鹏', '红花', '荆民强', '穆梦娇']",['罪途3之正义规则'],"['剧情', '悬疑', '犯罪']",['6.7'],['8537'],[' 汉语普通话']
[' 美国'],['杰夫·汤姆西奇'],['2018'],['100'],"['杰瑞米·雷纳', '乔恩·哈姆', '艾德·赫尔姆斯', '安娜贝拉·沃丽丝', '艾拉·菲舍尔', '拉什达·琼斯', '莱丝莉·比伯', '杰克·约翰逊', '布莱恩·丹内利', '汉尼拔·布勒斯', '塞巴斯蒂安·马尼斯科', '诺拉·邓恩', '梅丽莎·乐爱伦', '史蒂夫·伯格']",['抓人游戏 Tag'],['喜剧'],['6.6'],['9050'],[' 英语']
[' 泰国'],['维塔亚·东俞扬'],['2018'],['123'],"['桑尼·苏瓦美塔农', '尤拉萨雅·斯帕邦德', '尼查坤·抔勒威查固', '安楚义昂·布阿嘎育', '婵査勒姆·曼纳萨朋']",['把哥哥退货可以吗？ น้อง.พี่.ที่รัก'],"['喜剧', '爱情']",['5.3'],['4358'],[' 泰语 / 日语 / 英语']
[' 美国'],['朱利叶斯·约拿'],['2018'],['102'],"['古古·姆巴塔-劳', '大卫·奥伊罗', '丹尼尔·布鲁尔', '约翰·奥提兹', '克里斯·奥多德', '阿卡塞尔·亨涅', '章子怡', '伊丽莎白·德比茨基', '罗杰·戴维斯', '唐纳尔·罗格', '苏珊·克莱尔', '肯·奥林', '西蒙·佩吉', '格雷戈·格伦伯格']",['科洛弗悖论 The Cloverfield Paradox'],"['科幻', '悬疑', '惊悚']",['6.0'],['14339'],[' 英语 / 汉语普通话']
[' 英国 / 美国'],['巴特·雷顿'],['2018'],['116'],"['埃文·彼得斯', '巴里·基奥根', '布莱克·詹纳', '安·唐德', '乌多·基尔', '杰瑞德·亚伯拉汉姆森', '盖里·巴萨拉巴', '拉腊·格赖斯', '简·麦克尼尔', '韦恩·杜瓦尔']",['美国动物 American Animals'],"['剧情', '犯罪']",['7.0'],['13870'],[' 英语']
[' 日本'],['佐藤信介'],['2018'],['127'],"['木梨宪武', '佐藤健', '本乡奏多', '二阶堂富美', '三吉彩花', '福崎那由他', '滨田麻里', '齐藤由贵', '伊势谷友介']",['犬屋敷 真人版 いぬやしき'],"['动作', '科幻']",['6.6'],['6311'],[' 日语']
[' 美国'],['大卫·洛维'],['2018'],['93'],"['罗伯特·雷德福', '茜茜·斯派塞克', '卡西·阿弗莱克', '丹尼·格洛弗', '汤姆·威兹', '提卡·森普特', '阿勒·伊丽莎白·约翰逊', '蒂根·约翰逊', '吉因·琼斯', '约翰·大卫·华盛顿', '巴洛·雅克布斯', '奥古斯丁·弗里泽尔', '小伊塞亚·维特洛克', '丽雅·罗伯茨', '伊丽莎白·莫斯', '阿尔菲厄斯·格林', '基思·卡拉丹', '肯妮莎·汤普森', '罗伯特·朗斯特里特', '乔丹·崔威里恩', '托比·豪布鲁克斯', '克里斯汀·岱伊', '拉里·杰克·唐森', '帕姆·多尔蒂']",['老人和枪 The Old Man and the Gun'],"['剧情', '喜剧', '犯罪']",['7.0'],['6824'],[' 英语']
[' 日本'],['小泉德宏'],['2018'],['128'],"['广濑铃', '野村周平', '新田真剑佑', '上白石萌音', '矢本悠马', '森永悠希', '清水寻也', '优希美青', '佐野勇斗', '清原果耶', '松冈茉优', '贺来贤人', '松田美由纪', '国村隼']",['花牌情缘：结 ちはやふる 結び'],['剧情'],['7.9'],['6077'],[' 日语']
[' 日本'],['渡边政治'],['2018'],['60'],"['小林裕介', '高桥李依', '内山夕实', '水濑祈', '村川梨衣', '新井里美', '子安武人']",['Re：从零开始的异世界生活 Memory Snow Re:ゼロから始める異世界生活 Memory Snow'],"['动画', '奇幻']",['7.5'],['323'],[' 日语']
[' 中国大陆'],['陈勋奇'],['2018'],['113'],"['谭耀文', '孟广美', '马国明', '那广子', '罗彬']",['美丽战争'],"['剧情', '动作']",[''],[],[' 汉语普通话']
[' 中国大陆'],['张鹏'],['2018'],['141'],"['吴磊', '梁家辉', '刘嘉玲', '张艺上', '冯嘉怡', '明道', '董琦', '多布杰']",['阿修罗'],"['动作', '爱情', '奇幻']",['3.1'],['15325'],[' 汉语普通话']
[' 日本'],['山田尚子'],['2018'],['90'],"['种崎敦美', '东山奈央', '本田望结', '藤村鼓乃美', '山冈百合', '杉浦诗织', '黑泽朋世', '朝井彩加', '丰田萌绘', '安济知佳', '桑岛法子', '中村悠一', '樱井孝宏']",['利兹与青鸟 リズと青い鳥'],"['剧情', '动画', '音乐']",['8.6'],['12379'],[' 日语']
[' 韩国'],['李海暎'],['2018'],['123'],"['赵震雄', '柳俊烈', '金柱赫', '金成铃', '朴海俊', '车胜元', '郑家蓝', '南文哲', '徐贤宇', '姜承贤', '京熙妍', '金东英', '李周英', '琴赛璐', '郑钟宇', '权度云']",['毒战 독전'],"['动作', '犯罪']",['6.4'],['11475'],[' 韩语']
[' 英国 / 美国'],['史蒂夫·麦奎因'],['2018'],['129'],"['维奥拉·戴维斯', '连姆·尼森', '乔·博恩瑟', '曼努埃尔·加西亚-鲁尔福', '科布恩·格罗斯', '米歇尔·罗德里格兹', '伊丽莎白·德比茨基', '凯莉·库恩', '罗伯特·杜瓦尔', '科林·法瑞尔', '布莱恩·泰里·亨利', '丹尼尔·卡卢亚', '迈克尔·哈尔尼', '安·米切尔', '杰基·韦佛', '斯蒂芬·希尔', '加瑞特·迪拉胡特', '凯文·J·奥康纳', '乔恩·迈克尔·希尔', '辛西娅·艾莉佛', '迪安娜·里德-福斯特', '阿德普波·奥杜耶', '卢卡斯·哈斯', '斯蒂夫·托瓦', '马克·兰开斯特', '马特·沃尔什', '大卫·邓斯顿', 'Alejandro Verdin', 'Bailey Rhyse Walters', '索科萝·圣地亚哥', '约书亚·拜尔沃特', '桐瑞·何', '克里斯·诺尔特', '斯利姆·克什里']",['寡妇联盟 Widows'],"['剧情', '惊悚', '犯罪']",['6.2'],['8328'],[' 英语 / 西班牙语 / 波兰语']
[' 日本'],['堤幸彦'],['2018'],['120'],"['筱原凉子', '西岛秀俊', '坂口健太郎', '川荣李奈', '田中泯', '松坂庆子', '稻垣来泉']",['沉睡的人鱼之家 人魚の眠る家'],['剧情'],['6.8'],['1441'],[' 日语']
[' 美国 / 英国'],['伦纳特·拉夫'],['2018'],['97'],"['萨姆·沃辛顿', '泰勒·席林', '汤姆·威尔金森', '阿格妮丝·迪恩', '娜塔莉·伊曼纽尔', '诺亚·尤佩', '克里·约翰逊', '亚历山大·约瓦诺维奇', '迪耶戈·博内塔', '亚伦·赫弗南', '娜奥米·巴特里克', '史蒂芬·克里', '娜塔莉·波萨', '弗朗西斯科·加里多', '凯尔·索列尔', '本·奥德里基', '古斯塔沃·萨尔梅龙']",['超能泰坦 The Titan'],"['科幻', '惊悚']",['4.6'],['7722'],[' 英语']
[' 中国大陆'],[],['2018'],['157'],"['何炅', '迪丽热巴', '李易峰', '丁柳元', '张译']",['第12届中国金鹰电视艺术节颁奖典礼'],['真人秀'],['2.0'],['40088'],[' 汉语普通话']
[' 英国 / 美国'],['沃什·韦斯特摩兰'],['2018'],['111'],"['凯拉·奈特莉', '多米尼克·威斯特', '埃莉诺·汤姆林森', '费奥纳·肖', '丹妮斯·高夫', '艾莎·哈特', '丽贝卡·鲁特', '阿尔·韦弗', '卡罗琳·博尔顿', '雷·潘莎基', '珊农·塔伯特', '阿提拉·阿帕', '阿拉贝拉·韦尔', '羽田正义', '罗德里克·希尔', '贾尼娜·哈尼', '凯汀卡·埃格雷斯']",['柯莱特 Colette'],"['剧情', '传记', '历史']",['7.5'],['8394'],[' 英语']
[' 中国大陆'],['张歆艺'],['2018'],['96'],"['张歆艺', '王栎鑫', '谭维维', '陈哲远', '于莎莎', '孙骁骁', '曾一竣', '张若星', '包贝尔', '蒋欣', '张静初', '张天爱', '袁弘', '秦岚', '郭京飞', '李菁菁', '赵麒', '江珊', '王烈', '高晓攀', '吕夏', '孙明明']",['泡芙小姐'],"['剧情', '爱情']",['3.6'],['7303'],[' 汉语普通话']
[' 美国'],['皮埃尔·莫瑞尔'],['2018'],['102'],"['詹妮弗·加纳', '小约翰·加拉赫', '约翰·奥提兹', '胡安·巴勃罗·拉瓦', '安妮·伊隆泽', '杰夫·赫普内尔', '凯莱·弗莱明', '埃迪·辛', '马索·曼恩', '泰森·里特', '伊恩·卡塞尔伯里', '理查德·卡夫拉尔', '约翰尼·奥蒂斯']",['薄荷 Peppermint'],"['剧情', '动作', '惊悚']",['6.5'],['6796'],[' 英语']
