地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
[' 美国'],['亚当·麦凯'],['2018'],['132'],"['克里斯蒂安·贝尔', '艾米·亚当斯', '史蒂夫·卡瑞尔', '山姆·洛克威尔', '娜奥米·沃茨', '艾丽森·皮尔', '埃迪·马森', '贾斯汀·柯克', '丽莎·盖伊·汉密尔顿', '杰西·普莱蒙', '比尔·坎普', '唐·麦克马纳斯', '莉莉·拉贝', '谢伊·惠格姆', '斯蒂芬·阿德利·葛尔盖', '泰勒·派瑞', '杰夫·博斯利', '吉利安·阿美娜特', '马修·雅各布斯']",['副总统 Vice'],"['剧情', '喜剧', '传记', '历史']",['6.8'],['11084'],[' 英语']
[' 中国大陆 / 香港'],['叶伟民'],['2018'],['87'],"['甄子丹', '黄圣依', '王宝强', '任达华', '喻亢', '江疏影', '仓田保昭', '鲍起静', '林雪', '庄思敏', '胡明', '吴俊余', '王文绮']",['冰封侠：时空行者'],"['动作', '奇幻']",['2.6'],['8108'],[' 汉语普通话 / 粤语']
[' 爱尔兰 / 美国'],['尼尔·乔丹'],['2018'],['98'],"['伊莎贝尔·于佩尔', '科洛·莫瑞兹', '麦卡·梦露', '简·佩里', '杰夫·西勒', '帕克·索耶', '布兰登·李·西尔斯', '阿瑟·李', '罗莎·埃斯科达', '撒迪厄斯·丹尼尔斯', '科鲁姆·费奥瑞', '扎威·阿什顿', '斯蒂芬·瑞']",['遗孀秘闻 Greta'],"['剧情', '悬疑']",['6.0'],['3391'],[' 英语']
[' 中国大陆'],['胡玫'],['2018'],['113'],"['马伊琍', '富大龙', '马敬涵', '王子文', '姚安濂', '焦晃', '刘宸', '周中和', '杨哲', '王春子', '董飞', '刘立伟', '刘佩琦']",['进京城'],"['剧情', '历史', '古装']",['6.8'],['2278'],[' 汉语普通话 / 英语']
[' 中国大陆 / 香港'],['谷德昭'],['2018'],['98'],"['陈奕迅', '李荣浩', '李一桐', '陈国坤', '崔志佳', '许绍雄', '刘浩龙', '田启文', '克里斯·柯林斯', '马志威', '李聪']",['卧底巨星'],"['喜剧', '动作']",['3.6'],['13453'],[' 汉语普通话']
[' 美国'],['大卫·戈登·格林'],['2018'],['106'],"['杰米·李·柯蒂斯', '朱迪·格雷尔', '安迪·马蒂切克', '詹姆斯·裘德·柯特尼', '尼克·卡斯特尔', '哈鲁克·比尔根纳尔', '威尔·帕顿', '里安·里斯', '杰佛逊·豪尔', '托比·胡斯', '维吉尼亚·加德纳', '迪伦·阿诺德', '迈尔斯·罗宾斯', '德鲁·谢伊德', '吉布瑞尔·南谭布', '迈克尔·哈瑞蒂', '马修·安德森', '奥马尔·J·多尔西', '克里斯托弗· 艾伦·尼尔森', 'P·J·索尔丝', '桑迪·约翰逊', '乔恩·埃里克·海克瑟姆', '梅诺·佩卢斯', '杰瑞德·莫泽', '罗布·尼特']",['月光光心慌慌 Halloween'],"['惊悚', '恐怖']",['5.9'],['15067'],[' 英语']
[' 英国 / 美国'],['欧·帕克'],['2018'],['114'],"['莉莉·詹姆斯', '阿曼达·塞弗里德', '朱丽·沃特斯', '克里斯汀·芭伦斯基', '皮尔斯·布鲁斯南', '斯特兰·斯卡斯加德', '科林·费尔斯', '多米尼克·库珀', '杰瑞米·艾文', '亚历克萨·戴维斯', '杰西卡·基南·温', '乔什·迪伦', '休·斯金纳', '雪儿', '梅丽尔·斯特里普', '安迪·加西亚', '西莉亚·伊姆里', '欧米德·吉亚李利', '杰拉德·摩纳科', '森尚子', '伊川东吾', '阿纳斯塔西娅·希尔', '苏珊娜·巴克莱德', '乔纳森·戈德史密斯', '凯西·克莱尔', '班尼·安德森', '戴尔·布兰斯顿', '亚历珊德拉·福特']",['妈妈咪呀2 Mamma Mia! Here We Go Again'],"['喜剧', '爱情', '歌舞']",['7.0'],['19329'],[' 英语 / 法语 / 希腊语']
[' 中国大陆'],['罗登'],['2018'],['95'],"['葛优', '岳云鹏', '杜淳', '蔡卓妍', '包贝尔', '小沈阳', '陈赫', '潘斌龙', '热依扎', '孙越', '吕行', '张亮', '奚梦瑶', '杜志国', '许君聪', '吴俊余', '武强']",['断片之险途夺宝'],"['喜剧', '冒险']",['2.8'],['15213'],[' 汉语普通话']
[' 日本'],['关根光才'],['2018'],['109'],"['趣里', '菅田将晖', '仲里依纱', '田中哲司', '西田尚美', '松重丰', '石桥静河', '织田梨沙']",['只有爱能让我生存 生きてるだけで、愛。'],['爱情'],['7.3'],['2725'],[' 日语']
[' 中国大陆'],['崔斯韦'],['2018'],['111'],"['张震', '倪妮', '廖凡', '黄觉', '刘桦', '张奕聪', '李光洁', '岳小军', '昌隆']",['雪暴'],"['动作', '悬疑', '犯罪']",['6.2'],['24282'],[' 汉语普通话']
[' 美国'],"['杰克·卡斯托雷纳', '刘山姆']",['2018'],['81'],"['杰瑞·奥康奈尔', '丽贝卡·罗梅恩', '雷恩·威尔森', '罗莎里奥·道森', '内森·菲利安', '克里斯托弗·戈勒姆', '马特·兰特尔', '谢默·摩尔', '耐姆比·耐姆比', '杰森·奥玛拉', '乔纳森·亚当斯', '洛奇·卡罗尔', '特雷弗·德瓦', '保罗·伊丁', '帕特里克·法比安', '詹妮弗·黑尔', '马克斯·迈特尔曼', '托克斯·奥拉贡多耶']",['超人之死 The Death of Superman'],"['动作', '科幻', '动画']",['7.4'],['8490'],[' 英语']
[' 韩国'],['林顺礼'],['2018'],['103'],"['金泰梨', '柳俊烈', '文素丽', '秦基周', '国志龙', '郑浚远']",['小森林 리틀 포레스트'],['剧情'],['7.3'],['22862'],[' 韩语']
[' 波兰 / 法国 / 英国'],['帕维乌·帕夫利科夫斯基'],['2018'],['88'],"['尤安娜·库里克', '托马斯·科特', '波利斯·席克', '阿伽塔·库莱沙', '塞德里克·康', '让娜·巴利巴尔', '亚当·费仁希', '亚当·沃诺维茨', '亚当·斯齐斯科斯基']",['冷战 Zimna wojna'],"['剧情', '爱情', '音乐']",['7.8'],['19566'],[' 波兰语 / 法语 / 德语 / 克罗地亚语 / 意大利语 / 俄语']
[' 香港'],['李骏硕'],['2018'],['119'],"['姜皓文', '惠英红', '黄河', '袁富华', '余香凝', '吴肇轩', '周祉君', '陈蕾', '葛民辉', '岑珈其', '梁舜燕', '顾定轩', '黄溢濠', '李昭南', '陈志全']",['翠丝 翠絲'],"['剧情', '同性']",['6.8'],['8214'],[' 粤语']
[' 中国大陆 / 澳大利亚'],['金波·兰道'],['2018'],['90'],"['李冰冰', '凯南·鲁兹', '吴尊', '凯尔希·格兰莫', '斯黛芬·道森', '瑞恩·约翰逊', '肖恩·雅克博森', '杰森·庄', '蒂姆·德莱克斯', '克里斯汀·米洛', '克洛依·盖伊']",['谜巢'],"['动作', '冒险']",['3.5'],['18224'],[' 英语']
[' 日本'],['武内英树'],['2018'],['109'],"['绫濑遥', '坂口健太郎', '本田翼', '北村一辉', '中尾明庆', '石桥杏奈', '柄本明', '加藤刚']",['今夜在浪漫剧场 今夜、ロマンス劇場で'],"['爱情', '奇幻']",['7.2'],['20169'],[' 日语']
[' 日本'],['吉沢俊一'],['2018'],['90'],"['榎木淳弥', '村中知', '松浦爱弓', '梅原裕一郎', '村濑步', '古川慎', '盐田朋子', '寺杣昌纪', '中井和哉', '山路和弘', '星野贵纪', '佐藤せつじ', '驹田航', '荒井勇树', '岛田岳洋', '玉野井直樹', '中村文徳', '横沟菜帆']",['机动战士高达NT 機動戦士ガンダム NT（ナラティブ）'],"['科幻', '动画', '战争']",['6.0'],['730'],[' 日语']
[' 韩国'],['曹圭章'],['2018'],['111'],"['李星民', '金相浩', '陈庆', '郭时旸', '朴春', '金成钧', '李民雄', '延济旭', '申承焕', '李载宇', '裴贞华', '郑侑敏', '黄英熙', '孙钟学', '李相熹', '金子英', '朴成根']",['目击者 목격자'],"['悬疑', '惊悚']",['6.1'],['6495'],[' 韩语']
[' 美国'],['拉娜·沃卓斯基'],['2018'],['151'],"['裴斗娜', '杰米·克莱顿', '蒂娜·德赛', '塔彭丝·米德尔顿', '马克思·雷迈特', '米格尔·安赫尔·西尔维斯特', '布莱恩·J·史密斯', '托比·奥伍梅尔', '弗莉玛·阿吉曼', '普拉布 科里', '阿方索·埃雷拉', '泰伦斯·曼', '达丽尔·汉纳', '纳威恩·安德利维斯', '奈斯鲍提斯塔', '斯蒂芬·鲍克思', '阿米拉·加扎拉', '约书亚·格罗斯', '埃伦迪拉·伊瓦拉', '雅丽·乔维尔', '西尔维斯特·迈可伊', 'Annie Munch', '埃文特·斯特朗', '马克斯·毛夫']",['超感猎杀：完结特别篇 Sense8 Finale Special'],"['剧情', '科幻', '同性']",['9.2'],['30745'],[' 英语']
[' 美国'],['马克·福斯特'],['2018'],['104'],"['伊万·麦克格雷格', '海莉·阿特维尔', '勃朗特·卡迈克尔', '马克·加蒂斯', '奥利弗·福德·戴维斯', '阿德里安·斯卡伯勒', '罗杰·阿什顿-格里菲斯', '阿曼达·劳伦斯', '凯蒂·卡迈克尔', '特里斯坦·斯特罗克', '保罗·查希迪', '迈克尔·吉恩', '舒雅德·法瑞斯', '马特·贝里', '西蒙·法纳比', '麦肯锡·克鲁克', '吉姆·库宁斯', '布拉德·加内特', '尼克·穆罕默德', '彼得·卡帕尔迪', '苏菲·奥康内多', '托比·琼斯', '李·阿斯奎斯-柯', '罗伊·贝克', '金塔雷·贝尼奥拉维特', '贝恩·科拉科', '托马斯·派登', '库姆德·潘特', '理查德·谢尔曼', '彼得·辛格', '卡罗尔·斯蒂尔', '艾薇·维']",['克里斯托弗·罗宾 Christopher Robin'],"['喜剧', '动画', '冒险']",['8.0'],['21654'],[' 英语']
[' 日本'],['佐藤祐市'],['2018'],['112'],"['土屋太凤', '芳根京子', '横山裕', '筒井真理子', '生田智子', '村井国夫', '檀丽', '浅野忠信']",['深红累之渊 累-かさね-'],['悬疑'],['7.5'],['8108'],[' 日语']
[' 意大利 / 美国'],['卢卡·瓜达尼诺'],['2018'],['152'],"['达科塔·约翰逊', '蒂尔达·斯文顿', '科洛·莫瑞兹', '米娅·高斯', '杰西卡·哈珀', '西尔维·泰斯蒂', '安吉拉·温科勒', '玛高莎·贝拉', '英格丽·卡文']",['阴风阵阵 Suspiria'],"['惊悚', '恐怖']",['6.7'],['19493'],[' 英语 / 德语 / 法语']
[' 中国大陆'],['张骁'],['2018'],['104'],"['闫妮', '邹元清', '吴若甫', '吴大维', '耿乐', '张恒', '曾江', '廖学秋', '那威', '吴樾', '曹思达', '李政阳']",['我是你妈'],"['剧情', '喜剧']",['4.9'],['10663'],[' 汉语普通话']
[' 英国'],['曼迪·弗莱彻'],['2018'],['95'],"['比蒂·埃德蒙森', '艾德·斯克林', '米兰卡·布鲁克斯', '杰玛·琼斯', '切瑞·朗吉', '艾米丽·阿塔克', '彼得·戴维森', '艾米莉亚·琼斯', '珍妮弗·桑德斯', '阿德里安·斯卡伯勒', '伯纳德·克理宾斯']",['我的冤家是条狗 Patrick'],"['喜剧', '家庭']",['6.4'],['7318'],[' 英语']
[' 美国'],['苏珊·约翰逊'],['2018'],['99'],"['拉娜·康多', '诺亚·琴蒂内奥', '伊瑟尔·布罗萨德', '贾娜尔·帕里希', '安娜·卡思卡特', '安德鲁·巴切勒', '特雷佐·马霍洛', '玛德琳娜·亚瑟', '埃米利娅·巴拉纳茨', '约翰·考伯特', '凯尔西·马韦马', '朱莉娅·本森', '乔伊·帕切科', '乔丹·伯切特', '琼·B·王尔德', '伊莎贝尔·比奇', '亨特·狄龙', '克里斯蒂安·迈克尔·库珀', '里斯·弗菜明', '帕维尔·皮多克', '杰布·比奇', 'Cameron Crosby', '耶尔·雅曼']",['致所有我曾爱过的男孩 To All the Boys I&#39;ve Loved Before'],['爱情'],['7.4'],['23936'],[' 英语']
[' 韩国'],['洪尚秀'],['2018'],['96'],"['纪柱峰', '金敏喜', '宋宣美', '权海虓', '刘俊相']",['江边旅馆 강변호텔'],['剧情'],['7.2'],['2453'],[' 韩语']
[' 美国'],['罗伯·科恩'],['2018'],['103'],"['托比·凯贝尔', '玛姬·格蕾斯', '瑞恩·柯万腾', '拉尔夫·伊内森', '梅丽莎·博洛纳', '本·克劳斯', '杰米·安德鲁·卡特勒', '克里斯蒂安·孔特雷拉斯', '艾德·伯奇', '埃里克·罗德尔', '马克·史密斯', '布鲁克·约翰斯顿', '帕特里克·麦考利', '莱昂纳多·狄更斯', '斯图尔特·麦克奎里', '娜塔莎·卡拉姆', '阿塔纳斯·斯雷布雷夫', '卢克·朱迪', '安德烈·鲁滨孙']",['飓风奇劫 The Hurricane Heist'],"['动作', '惊悚', '犯罪']",['5.9'],['11633'],[' 英语']
[' 美国 / 加拿大'],['朱利叶斯·艾弗里'],['2018'],['110'],"['约翰·艾德坡', '怀亚特·罗素', '马蒂尔德·奥利维耶', '皮鲁·埃斯贝克', '约翰·马加罗', '伊恩·德·卡斯泰克', '雅各布·安德森', '多米尼克·阿普尔怀特', '博基姆·伍德拜因', '恩里奇·雷德曼', '马克·麦克肯纳', '海莉·卡迈克尔', '米迦勒·埃普', '罗斯·汤姆林森', '本·特瓦索里', '安迪·韦勒姆', '帕特里克·布拉莫尔', '肖恩·狄克逊', '豪尔赫·莱昂·马丁内斯', '伊娃·马格亚']",['霸主 Overlord'],"['动作', '科幻', '恐怖', '战争']",['6.5'],['13914'],[' 英语 / 俄语 / 法语 / 德语']
[' 中国大陆'],['林珍钊'],['2018'],['104'],"['赵文卓', '唐文龙', '韦娜', '李璐兵', '陈晨', '李炳渊', '魏小欢', '许政国']",['黄飞鸿之南北英雄'],"['动作', '武侠']",['4.5'],['5401'],[' 汉语普通话']
[' 韩国'],['李权'],['2018'],['102'],"['孔晓振', '金叡园', '金圣武', '赵福来', '李家燮', '李天熙', '金在华']",['门锁 도어락'],"['悬疑', '惊悚']",['6.8'],['18496'],[' 韩语']
[' 土耳其 / 马其顿 / 法国 / 德国 / 波黑 / 保加利亚 / 瑞典'],['努里·比格·锡兰'],['2018'],['188'],"['岛吾·德米尔考', '穆拉特·杰姆吉尔', '本努·耶勒德热姆拉尔', '哈扎尔·埃尔居奇卢', '塞尔坎·凯斯金', '塔梅尔·莱文特', '厄内尔·埃尔坎', '里法特·桑贾尔', '阿克·阿克苏', '卡迪尔·瑟米克', '欧扎·费什特']",['野梨树 Ahlat Ağacı'],['剧情'],['8.1'],['8183'],[' 土耳其语']
[' 日本'],['佐藤信介'],['2018'],['108'],"['福士苍汰', '杉咲花', '吉泽亮', '真野惠里菜', '小柳友', '田边诚一', '早乙女太一', '石原贵雅', '长泽雅美', '江口洋介']",['境·界 BLEACH'],"['动作', '奇幻', '冒险']",['4.9'],['8611'],[' 日语']
[' 美国'],['斯派克·李'],['2018'],['135'],"['约翰·大卫·华盛顿', '亚历克·鲍德温', '小伊塞亚·维特洛克', '罗伯特·约翰·伯克', '布赖恩·塔伦蒂诺', '阿瑟·J·纳斯加勒拉', '根·加里托', '弗雷德里克·韦勒', '亚当·德赖弗', '迈克尔·布谢米', '劳拉·哈里尔', '达马里斯·刘易斯', '奥托·布兰克森-伍德', '科里·霍金斯', '法龙·索尔兹伯里', '瑞安·艾戈尔德', '加斯帕·帕科农', '保罗·沃尔特·豪泽', '阿什莉·阿特金森', '托弗·戈瑞斯', '维克托·科利采奇奥', '埃莉斯·哈德森', '丹尼·霍奇', '尼古拉斯·特图罗', '哈里·贝拉方特', '克里斯·班克斯', '克雷格·穆姆斯·格兰特', '汤姆·斯特拉特福', '唐纳德·特朗普', '保罗·迪奥梅德', '赖恩·普雷姆斯伯格', '吉娜·贝拉方特', '迈克尔·J·伯格', '柯特·克伦德尼', '大卫·杜克']",['黑色党徒 BlacKkKlansman'],"['剧情', '传记', '犯罪']",['7.1'],['20194'],[' 英语']
[' 中国大陆'],['松太加'],['2018'],['109'],"['容中尔甲', '尼玛颂宋', '赛却加']",['阿拉姜色'],"['剧情', '家庭']",['7.6'],['13848'],[' 藏语']
[' 加拿大'],['阮金'],['2018'],['111'],"['杰西·艾森伯格', '亚历山大·斯卡斯加德', '萨尔玛·海耶克', '迈克尔·曼多', '约翰·海尔登贝格', '阿伊莎·伊萨', '萨拉·古德伯格', '弗兰克·萧宾', '夸西·宋桂', '康拉德·皮拉', '朱利安·拜利', '卡内赫迪奥·霍恩', '泰勒·艾略特·伯克', '布朗温·曼特尔', '伊戈尔·奥瓦迪斯', '詹维姆维·米勒', '艾瑞卡·罗森鲍姆', '朱丽叶特·高斯林', '拉斐尔·格罗斯-哈维', '斯蒂芬妮·科斯塔', '卡尔·格拉戈萨斯', '梅兰莎·布莱克索恩']",['蜂鸟计划 The Hummingbird Project'],['剧情'],['7.1'],['693'],[' 英语']
[' 中国大陆'],"['丁亮', '林汇达']",['2018'],['89'],"['张伟', '张秉君', '谭笑']",['熊出没·变形记'],"['喜剧', '动画', '冒险']",['6.7'],['11095'],[' 汉语普通话']
[' 德国'],['拉斯·克劳梅'],['2018'],['111'],"['乔纳斯·达斯勒', '汤姆·格兰门兹', '米夏埃尔·圭斯德克', '罗夫·凯尼斯', '布尔格哈特·克劳斯纳', '莱娜·克棱克', '弗洛里安·卢卡斯', '伦纳德·施彻', '戈茨·舒伯特', '耶迪斯·特里贝尔', '卡莉娜·N.维斯', '罗纳尔德·策尔费尔德']",['沉默的教室 Das schweigende Klassenzimmer'],"['剧情', '历史']",['8.4'],['10973'],[' 德语']
[' 日本'],['三岛有纪子'],['2018'],['120'],"['黑木华', '野村周平', '成田凌', '夏帆', '东出昌大', '神野三铃', '高桥洋', '酒向芳', '桃果', '渡边美佐子']",['彼布利亚古书堂事件手帖 ビブリア古書堂の事件手帖'],['悬疑'],['6.3'],['1505'],[' 日语']
[' 英国'],['巴巴拉·威尔希尔'],['2018'],['30'],"['史蒂夫·佩姆伯顿', '里斯·谢尔史密斯', '斯蒂芬妮·科尔', '罗宾·贝里', '里奇·基伯', '丹尼斯·劳森']",['9号秘事 万圣节特别篇 Inside No. 9  Dead Line'],['喜剧'],['8.6'],['15870'],[' 英语']
[' 美国'],['乔尔·埃哲顿'],['2018'],['115'],"['卢卡斯·赫奇斯', '妮可·基德曼', '罗素·克劳', '玛德琳·克莱因', '维克托·麦凯', '大卫·约瑟夫·克雷格', '特洛耶·希文', '艾米丽·辛克尔', '德文·迈克尔', '马特·伯克', '林赛·莫泽', '杰西·拉图雷特', '布里顿·瑟尔', '大卫·迪特莫尔', '威廉·吴', '乔尔·埃哲顿', '泽维尔·多兰', '蒂姆·韦尔', '弗利', '兰德尔·P·海文斯', '乔·阿尔文']",['被抹去的男孩 Boy Erased'],"['剧情', '同性', '传记']",['7.4'],['12904'],[' 英语']
[' 法国'],['克里斯托夫·奥诺雷'],['2018'],['132'],"['文森特·拉科斯特', '皮埃尔·德隆尚', '德尼·波达利德斯', '阿黛尔·维斯梅思', '托马斯·冈萨雷斯', '克莱蒙·梅特耶', '昆廷·蒂博', '特里斯坦·法尔热', '索菲·勒图讷尔', '马莱娜·索尔达纳', '卢卡·马林诺夫斯基', '埃里克·维涅尔', '罗曼·施耐纳']","['喜欢，轻吻，快跑 Plaire, aimer et courir vite']","['剧情', '爱情', '同性']",['7.8'],['14311'],[' 法语']
[' 美国'],['罗伯·劳'],['2018'],['84'],"['麦肯娜·格瑞丝', '卡拉·布欧诺', '罗伯·劳', '帕蒂·麦克马科', '莎拉·杜格代尔', '凯特·艾萨克', '肖娜·约翰尼森', '卢克·勒斯勒尔', '约翰·埃梅特·特雷西', '艾玛·梅里纳', '玛茜·T·豪斯', '洛恩·卡迪纳尔']",['坏种 The Bad Seed'],"['剧情', '悬疑', '恐怖']",['6.7'],['8356'],[' 英语']
[' 韩国'],['金成勋'],['2018'],['121'],"['玄彬', '赵宇镇', '张东健', '金义城', '李善彬', '郑满植', '徐智慧', '赵达焕', '金太祐', '许成泰', '朴镇宇', '韩智恩', '许俊硕', '白秀章', '郑惟安']",['猖獗 창궐'],"['动作', '恐怖']",['5.7'],['6640'],[' 韩语']
[' 中国大陆'],['唐高鹏'],['2018'],['113'],"['王学兵', '朱耕佑', '马伊琍', '王旭峰', '岳小军', '王槊', '曲高位']",['未择之路'],"['剧情', '犯罪']",['6.8'],['14524'],[' 汉语普通话']
[' 中国大陆 / 香港'],['张家辉'],['2018'],['112'],"['张家辉', '徐静蕾', '何炅', '余男', '苗侨伟', '元华', '林雪', '张可颐']",['低压槽：欲望之城 低壓槽'],"['剧情', '动作', '悬疑', '犯罪']",['4.4'],['13228'],[' 汉语普通话 / 粤语 / 英语 / 泰语']
[' 韩国'],['李锡根'],['2018'],['110'],"['金英光', '朴宝英', '姜其永', '高圭弼', '张成范', '金贤淑', '林炯俊', '姜德重', '徐恩秀', '宋再临', '申素率', '郑多媛', '车烨', '裴海善', '全裴修', '徐胤雅']",['你的婚礼 너의 결혼식'],"['剧情', '爱情']",['7.2'],['15881'],[' 韩语']
[' 美国'],['杰拉德·麦克穆雷'],['2018'],['98'],"['伊兰·诺尔', '莱克斯·斯科特·戴维斯', '乔瓦恩·韦德', '马加', '帕奇·德拉奇', '玛丽莎·托梅', '劳伦·维勒斯', '克丽丝滕·索利斯', '莫·麦克雷', '史蒂夫·哈里斯', '米切尔·爱德华兹', '伊恩·布莱克曼', '梅罗妮·迪亚兹', '迪德尔·古德温', '丽维·陈', '阿兰·皮特鲁塞泽维斯基', '洛根·克劳福德', '约翰·麦克金蒂']",['人类清除计划4 The First Purge'],"['科幻', '惊悚', '犯罪']",['5.4'],['10203'],[' 英语']
[' 中国大陆'],['周浩晖'],['2018'],['94'],"['葛布', '刘浩', '王初伊', '黄垲翔']",['天方异谈'],"['剧情', '悬疑', '奇幻']",['7.6'],['5229'],[' 汉语普通话']
[' 日本 / 法国'],['滨口龙介'],['2018'],['119'],"['东出昌大', '唐田英里佳', '濑户康史', '山下莉绪', '伊藤沙莉', '渡边大知', '仲本工事', '田中美佐子']",['夜以继日 寝ても覚めても'],"['剧情', '爱情']",['7.4'],['11297'],[' 日语']
[' 俄罗斯'],['奥列格·特罗费姆'],['2018'],['113'],"['阿格拉娅·塔拉索娃', '亚历山大·佩特罗夫', '米洛斯·比柯维奇', '玛丽亚·阿龙诺娃', '瑟妮娅·拉芙洛娃-格林卡', '彦·萨普尼克', '克谢尼娅·拉波波尔特', '维伦·巴比切夫', '帕维尔·迈科夫', '伊琳娜·斯达申鲍姆']",['花滑女王 Лёд'],"['剧情', '爱情', '运动']",['6.8'],['14159'],[' 俄语']
[' 美国'],['弗朗西斯·劳伦斯'],['2018'],['140'],"['詹妮弗·劳伦斯', '乔尔·埃哲顿', '马提亚斯·修奈尔', '夏洛特·兰普林', '玛丽·露易斯·帕克', '塞伦·希德', '乔莉·理查德森', '比尔·坎普', '杰瑞米·艾恩斯', '斯科拉·鲁特', '道格拉斯·霍奇斯', '沙基纳·贾弗里', '谢尔盖·波卢宁', '萨沙·弗若洛娃', '塞巴斯蒂安·胡克']",['红雀 Red Sparrow'],"['剧情', '悬疑', '惊悚']",['6.3'],['32622'],[' 英语 / 俄语']
[' 中国大陆'],['刘轩狄'],['2018'],['85'],"['尹天照', '林枫烨', '付赫安琪', '王佳希', '楼南光', '雷宇扬', '包小平']",['伏妖白鱼镇2'],"['悬疑', '奇幻']",['5.6'],['472'],[' 汉语普通话']
[' 中国大陆'],['左志国'],['2018'],['91'],"['王海涛', '任青安', '丁建钧', '董博', '龙水林', '李珏', '王上']",['云雾笼罩的山峰'],"['剧情', '悬疑']",['6.2'],['1044'],[' 汉语普通话']
[' 美国'],['塞巴斯蒂安·莱里奥'],['2018'],['102'],"['朱丽安·摩尔', '约翰·特托罗', '迈克尔·塞拉', '西恩·奥斯汀', '布拉德·加内特', '阿兰娜·乌巴赫', '珍妮·特里普里霍恩', '霍兰德·泰勒', '丽塔·威尔逊', '卡西·汤普森', '克里斯·马尔基', '凯伦·皮斯托里斯', '泰森·里特', '珍妮卡·贝尔格雷', '巴巴拉·苏科瓦', '桑德拉·罗斯科', '南希·德马尔斯', '巴尔巴拉·斯科拉罗', '杰西·欧文', '科琳娜·哈尼', '克里斯托弗·艾伯', '托马斯·詹姆斯·凯普纳']",['葛洛利亚·贝尔 Gloria Bell'],"['剧情', '爱情']",['7.1'],['1225'],[' 英语']
[' 韩国'],['李钟奭'],['2018'],['114'],"['孙艺珍', '玄彬', '金相浩', '张荣男', '张光', '赵勇进', '朴成根', '朴修荣', '金民尚', '李诗雅', '崔秉默', '李贤', '金熙镇', '李珠英', '康德铉', '李文植']",['协商 협상'],"['动作', '悬疑', '犯罪']",['6.9'],['15096'],[' 韩语']
[' 英国 / 中国大陆 / 美国'],['多诺万·玛什'],['2018'],['122'],"['杰拉德·巴特勒', '托比·斯蒂芬斯', '加里·奥德曼', '科曼', '琳达·卡德里尼', '米哈伊尔·戈尔沃伊', '迈克尔·吉普森', '邓普希·博弗尔', '克里·约翰逊', '亚当·詹姆斯', '亨利·古德曼', '科林·斯廷顿', '卡特·麦金太尔', '施恩·泰勒', '米基·柯林斯', '威尔·阿滕伯勒', '大卫·吉雅西', '吴国耀', '泰勒·约翰·史密斯', '加布里埃尔·查瓦里亚', '柯斯莫·贾维斯', '迈克尔·特鲁科', '雷恩·麦帕林', '赞恩·霍尔茨', '尤里·科洛科利尼科夫', '伊戈尔·日日金', '伊利亚·沃里克', 'Hristo Mitzkov', '迈克尔·恩奎斯特', '卡罗琳·古多尔', '大卫·叶兰德', '斯图尔特·米里根', '李·阿斯奎斯-柯', '西奥·巴克利姆-比格斯', '内森·库珀', '迪诺·法赞尼', '所罗门·塔伊沃·贾斯提费尔德', '马里安·洛伦西克', '贾森·马修森', '伯纳多·桑托斯', '阿塔纳斯·斯雷布雷夫']",['冰海陷落 Hunter Killer'],"['动作', '战争']",['6.7'],['11666'],[' 英语']
[' 美国 / 意大利'],['斯特法诺·索利马'],['2018'],['122'],"['本尼西奥·德尔·托罗', '乔什·布洛林', '伊莎贝拉·莫奈', '凯瑟琳·基纳', '杰弗里·多诺万', '马修·莫迪恩', '吉姆·戴佛提', '伊恩·鲍汉', '曼努埃尔·加西亚-鲁尔福', '杰克·皮克金', '布鲁诺·庇屈', '杰克莫·巴泽尔', '以利亚·罗德里格斯']",['边境杀手2：边境战士 Sicario: Day of the Soldado'],"['剧情', '动作', '犯罪']",['6.7'],['20969'],[' 英语 / 西班牙语']
[' 美国'],['罗伯·马歇尔'],['2018'],['130'],"['艾米莉·布朗特', '梅丽尔·斯特里普', '科林·费尔斯', '朱丽·沃特斯', '安吉拉·兰斯伯瑞', '艾米莉·莫迪默', '本·卫肖', '迪克·范·戴克', '大卫·沃纳', '林-曼努尔·米兰达', '杰里米·斯威夫特', '寇布勒·霍尔德布鲁克-史密斯', '匹克西·戴夫斯', '吉姆·诺顿', '贝恩·科拉科', '迈克尔·科布', '伯纳多·桑托斯', '乔安娜·希雅', '露丝·霍洛克斯', '贾格·帕特尔']",['欢乐满人间2 Mary Poppins Returns'],['歌舞'],['6.7'],['5900'],[' 英语']
[' 法国'],['史蒂芬·布塞'],['2018'],['113'],"['文森特·林顿', '梅兰妮·罗弗', '雅克·博尔德里', '戴维·雷伊', '奥利维尔·斯勒梅尔', '伊莎贝尔·鲁芬']",['开战 En Guerre'],['剧情'],['8.0'],['3095'],[' 法语']
